"['VB', 'DT', 'JJS_best', 'NN', 'NN']"
"['NN', 'VBD', 'IN_like', 'PRP', 'VBD']"
"['NN', 'VBZ', 'RBR_more', 'JJ', 'IN']"
"['NN', 'VBD', 'RBR_better', 'IN', 'NN']"
"['NN', 'VBD', 'RBR_better', 'IN', 'NN']"
"['JJ', 'VBP', 'IN_like', 'DT', 'NN']"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['RB', 'VBD', 'JJR_harder', 'IN', 'NN']"
"['RB', 'DT', 'RBS_most', 'JJ', 'NN']"
"['RB', 'DT', 'RBS_most', 'JJ', 'NN']"
"['VBZ', 'RB', 'JJR_longer', 'IN', 'PRP']"
"['JJ', 'DT', 'RBR_more', 'JJ', 'NN']"
"['VBD', 'DT', 'JJR_slower', 'NN', 'IN']"
"['VBN', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBN', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBZ', 'RB', 'RBR_better', 'IN', 'JJS']"
"['RBR', 'IN', 'JJS_forrest', 'NN']"
"['VBZ', 'RB', 'RBR_better', 'IN', 'JJS']"
"['VBD', 'RB', 'JJ_like', 'NN', 'NN']"
"['JJ', 'DT', 'RBR_more', 'JJ', 'NN']"
"['``', 'NN', 'JJ_inferior', 'TO', 'VB']"
"['VBN', 'DT', 'RBR_better', 'VBG', 'IN']"
"['VBN', 'DT', 'RBR_better', 'VBG', 'IN']"
"['NN', 'VBZ', 'JJR_less', 'IN', 'NNS']"
"['NN', 'VBZ', 'JJR_less', 'IN', 'NNS']"
"['NN', 'VBP', 'JJR_less', 'NN', 'IN']"
"['NN', 'VBP', 'JJR_less', 'NN', 'IN']"
"['IN', 'NN', 'JJR_more', 'IN', 'NN']"
"['IN', 'NNS', 'IN_like', 'NN', 'JJR']"
"['PDT', 'DT', 'JJS_best', 'NN', 'NN']"
"['VBZ', 'IN', 'PDT_all', 'DT', 'JJS']"
"['VBZ', 'DT', 'JJS_best', 'NN', 'RB']"
"['VBZ', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBZ', 'RB', 'JJR_better', 'IN', 'NN']"
"['NN', 'VBZ', 'JJR_better', 'IN', 'NN']"
"['NN', 'VBZ', 'JJR_better', 'IN', 'NN']"
"['NN', 'WRB', 'VBN_compar', 'TO', 'VB']"
"['RB', 'IN', 'DT_all', 'NN', ""''""]"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['NN', 'VBZ', 'RBR_more', 'JJ', 'IN']"
"['NN', 'VBZ', 'JJR_more', 'NN', 'NN']"
"['VBZ', 'DT', 'RBR_more', 'JJ', 'NN']"
"['CD', 'NNS', 'JJR_better', 'IN', 'NN']"
"['CD', 'NNS', 'JJR_better', 'IN', 'NN']"
"['VBD', 'NN', 'RBR_better', 'RB', 'VB']"
"['VBD', 'NN', 'RBR_better', 'RB', 'VB']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBZ', 'VBG', 'JJR_better', ""''""]"
"['VBZ', 'VBG', 'JJR_better', ""''""]"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBN', 'RB', 'RBR_more', 'IN', 'PRP']"
"['VBD', 'RB', 'JJR_more', 'JJ', 'CC']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'VBD', 'JJR_better', 'IN', 'NN']"
"['VBD', 'VBD', 'JJR_better', 'IN', 'NN']"
"['``', 'JJ_prefer', 'NN', 'NN']"
"['NN', 'RB', 'VBP_prefer', 'JJ', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"[""''"", 'RB', 'RBR_better', 'IN', 'JJ']"
"[""''"", 'RB', 'RBR_better', 'IN', 'JJ']"
"['NN', 'VBZ', 'RBR_more', 'RB', 'VBN']"
"['JJ', 'NN', 'RBR_more', 'JJ', ""''""]"
"['``', 'NN', 'IN_like', 'NN', 'IN']"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBZ', 'DT', 'JJS_worst', 'NN', 'IN']"
"['NN', 'VBZ', 'RBR_more', 'VBG', 'IN']"
"['JJ', 'VBP', 'IN_like', 'DT', 'NN']"
"['VBZ', 'NN', 'RBR_more', 'JJ', 'RB']"
"['NN', 'VBZ', 'RBR_more', 'VBG', 'IN']"
"['``', 'NN', 'IN_like', 'NN', 'NN']"
"['RB', 'NN', 'PDT_all', 'DT', 'NN']"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBZ', 'RB', 'RBR_more', 'JJ', 'IN']"
"['VB', 'DT', 'JJR_better', 'VBG', 'IN']"
"['VB', 'DT', 'JJR_better', 'VBG', 'IN']"
"['VBZ', 'DT', 'JJS_worst', 'NN', 'IN']"
"['VBZ', 'DT', 'RBR_more', 'JJ', 'VBG']"
"['NN', 'VBZ', 'JJR_longer', 'IN', 'NN']"
"['PRP', 'VB', 'RBR_more', 'JJ', 'IN']"
"['``', 'NN_compar', 'IN', 'NN']"
"['NN', 'VBZ', 'RBR_less', 'JJ']"
"['NN', 'VBZ', 'RBR_less', 'JJ']"
"['NN', 'VBZ', 'RBR_more', 'JJ', 'IN']"
"['NN', 'VBD', 'JJR_more', 'NN', 'IN']"
"['VBZ', 'DT', 'JJS_latest', 'NN', 'IN']"
"['PRP$', 'RB', 'JJS_best']"
"['VB', 'DT', 'JJS_darkest', 'NNS', 'NN']"
"['NN', 'VBD', 'JJR_better', 'IN', 'JJ']"
"['NN', 'VBD', 'JJR_better', 'IN', 'JJ']"
"['VB', 'DT', 'JJS_best', 'NN', 'NN']"
"['NN', 'VBD', 'IN_like', 'PRP', 'VBD']"
"['NN', 'VBZ', 'RBR_more', 'JJ', 'IN']"
"['NN', 'VBD', 'RBR_better', 'IN', 'NN']"
"['NN', 'VBD', 'RBR_better', 'IN', 'NN']"
"['JJ', 'VBP', 'IN_like', 'DT', 'NN']"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['RB', 'VBD', 'JJR_harder', 'IN', 'NN']"
"['RB', 'DT', 'RBS_most', 'JJ', 'NN']"
"['RB', 'DT', 'RBS_most', 'JJ', 'NN']"
"['VBZ', 'RB', 'JJR_longer', 'IN', 'PRP']"
"['JJ', 'DT', 'RBR_more', 'JJ', 'NN']"
"['VBD', 'DT', 'JJR_slower', 'NN', 'IN']"
"['VBN', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBN', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBZ', 'RB', 'RBR_better', 'IN', 'JJS']"
"['RBR', 'IN', 'JJS_forrest', 'NN']"
"['VBZ', 'RB', 'RBR_better', 'IN', 'JJS']"
"['VBD', 'RB', 'JJ_like', 'NN', 'NN']"
"['JJ', 'DT', 'RBR_more', 'JJ', 'NN']"
"['``', 'NN', 'JJ_inferior', 'TO', 'VB']"
"['VBN', 'DT', 'RBR_better', 'VBG', 'IN']"
"['VBN', 'DT', 'RBR_better', 'VBG', 'IN']"
"['NN', 'VBZ', 'JJR_less', 'IN', 'NNS']"
"['NN', 'VBZ', 'JJR_less', 'IN', 'NNS']"
"['NN', 'VBP', 'JJR_less', 'NN', 'IN']"
"['NN', 'VBP', 'JJR_less', 'NN', 'IN']"
"['IN', 'NN', 'JJR_more', 'IN', 'NN']"
"['IN', 'NNS', 'IN_like', 'NN', 'JJR']"
"['PDT', 'DT', 'JJS_best', 'NN', 'NN']"
"['VBZ', 'IN', 'PDT_all', 'DT', 'JJS']"
"['VBZ', 'DT', 'JJS_best', 'NN', 'RB']"
"['VBZ', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBZ', 'RB', 'JJR_better', 'IN', 'NN']"
"['NN', 'VBZ', 'JJR_better', 'IN', 'NN']"
"['NN', 'VBZ', 'JJR_better', 'IN', 'NN']"
"['NN', 'WRB', 'VBN_compar', 'TO', 'VB']"
"['RB', 'IN', 'DT_all', 'NN', ""''""]"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['NN', 'VBZ', 'RBR_more', 'JJ', 'IN']"
"['NN', 'VBZ', 'JJR_more', 'NN', 'NN']"
"['VBZ', 'DT', 'RBR_more', 'JJ', 'NN']"
"['CD', 'NNS', 'JJR_better', 'IN', 'NN']"
"['CD', 'NNS', 'JJR_better', 'IN', 'NN']"
"['VBD', 'NN', 'RBR_better', 'RB', 'VB']"
"['VBD', 'NN', 'RBR_better', 'RB', 'VB']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBZ', 'VBG', 'JJR_better', ""''""]"
"['VBZ', 'VBG', 'JJR_better', ""''""]"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBN', 'RB', 'RBR_more', 'IN', 'PRP']"
"['VBD', 'RB', 'JJR_more', 'JJ', 'CC']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'VBD', 'JJR_better', 'IN', 'NN']"
"['VBD', 'VBD', 'JJR_better', 'IN', 'NN']"
"['``', 'JJ_prefer', 'NN', 'NN']"
"['NN', 'RB', 'VBP_prefer', 'JJ', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"[""''"", 'RB', 'RBR_better', 'IN', 'JJ']"
"[""''"", 'RB', 'RBR_better', 'IN', 'JJ']"
"['NN', 'VBZ', 'RBR_more', 'RB', 'VBN']"
"['JJ', 'NN', 'RBR_more', 'JJ', ""''""]"
"['``', 'NN', 'IN_like', 'NN', 'IN']"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBZ', 'DT', 'JJS_worst', 'NN', 'IN']"
"['NN', 'VBZ', 'RBR_more', 'VBG', 'IN']"
"['JJ', 'VBP', 'IN_like', 'DT', 'NN']"
"['VBZ', 'NN', 'RBR_more', 'JJ', 'RB']"
"['NN', 'VBZ', 'RBR_more', 'VBG', 'IN']"
"['``', 'NN', 'IN_like', 'NN', 'NN']"
"['RB', 'NN', 'PDT_all', 'DT', 'NN']"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBZ', 'RB', 'RBR_more', 'JJ', 'IN']"
"['VB', 'DT', 'JJR_better', 'VBG', 'IN']"
"['VB', 'DT', 'JJR_better', 'VBG', 'IN']"
"['VBZ', 'DT', 'JJS_worst', 'NN', 'IN']"
"['VBZ', 'DT', 'RBR_more', 'JJ', 'VBG']"
"['NN', 'VBZ', 'JJR_longer', 'IN', 'NN']"
"['PRP', 'VB', 'RBR_more', 'JJ', 'IN']"
"['``', 'NN_compar', 'IN', 'NN']"
"['NN', 'VBZ', 'RBR_less', 'JJ']"
"['NN', 'VBZ', 'RBR_less', 'JJ']"
"['NN', 'VBZ', 'RBR_more', 'JJ', 'IN']"
"['NN', 'VBD', 'JJR_more', 'NN', 'IN']"
"['VBZ', 'DT', 'JJS_latest', 'NN', 'IN']"
"['PRP$', 'RB', 'JJS_best']"
"['VB', 'DT', 'JJS_darkest', 'NNS', 'NN']"
"['NN', 'VBD', 'JJR_better', 'IN', 'JJ']"
"['NN', 'VBD', 'JJR_better', 'IN', 'JJ']"
"['VBZ', 'RB', 'RBR_more', 'JJ', 'IN']"
"['VBZ', 'DT', 'JJS_worst', 'NN', 'NN']"
"['RP', 'DT', 'JJS_worst', 'NN', 'IN']"
"['NN', 'VBD', 'RBR_more', 'IN', 'DT']"
"['VBD', 'RBR', 'IN_like', 'DT', 'NN']"
"['VBD', 'DT', 'JJS_biggest', 'NN', 'NN']"
"['JJ', 'NNS', 'DT_all', 'IN', 'DT']"
"['``', 'JJS_most', 'IN', 'DT']"
"['``', 'JJS_most', 'IN', 'DT']"
"['VBZ', 'RB', 'RBR_closer', 'TO', 'NN']"
"['NN', 'NN', 'VB_lead', 'PRP', 'TO']"
"['JJ', 'NN', 'DT_all', 'VBP', 'PRP']"
"['``', 'JJS_most', 'NNS', 'VBP']"
"['``', 'JJS_most', 'NNS', 'VBP']"
"['WP', 'PRP$', 'NN_like', 'TO', 'VB']"
"['IN', 'VBG', 'JJR_more', 'NNS', ""''""]"
"['DT', 'JJ', 'JJ_rival', 'NN', 'NN']"
"['VBD', 'NN', 'IN_befor', 'VBG', 'PRP$']"
"['JJ', 'NNS', 'IN_like', 'PRP', 'RB']"
"['NN', 'NN', 'VBN_compar', 'TO', 'PRP$']"
"['WP', 'PRP$', 'IN_like', 'VBG', 'NN']"
"['NN', 'JJ', 'IN_befor', 'VBG', 'PRP']"
"['JJ', 'NN', 'IN_like', 'DT', 'JJ']"
"['NN', 'IN', 'DT_all', 'JJ', 'NNS']"
"['VBG', 'PRP', 'IN_like', 'NN', 'NN']"
"['IN', 'DT', 'RBS_most', 'RB', 'JJ']"
"['IN', 'DT', 'RBS_most', 'RB', 'JJ']"
"['IN', 'DT', 'NN_lead', 'NN', 'VBP']"
"['IN', 'DT', 'NN_lead', ""''""]"
"['DT', 'NN', 'RBR_more', 'CC', 'DT']"
"['RB', 'CC', 'DT_all', 'IN', 'DT']"
"['DT', 'IN', 'DT_all', 'DT', 'VBZ']"
"['DT', 'VBZ', 'RBR_more', 'DT', 'NN']"
"['RB', 'JJ', 'IN_like', 'DT', 'NN']"
"['PRP', 'VBD', 'RBR_more', 'IN', 'NN']"
"['VBD', 'RBR', 'IN_like', 'NN', 'VBD']"
"['NN', 'IN', 'DT_all', 'PRP$', 'NN']"
"['VBP', 'DT', 'JJS_perfect.best', 'IN', 'DT']"
"['NN', 'VBP', 'DT_all', 'JJS', 'IN']"
"['JJS', 'IN', 'DT_all', 'NNS', 'VBP']"
"['IN', 'DT', 'JJS_latest', 'NN', 'NN']"
"['NNS', 'DT', 'JJR_less', 'JJ', 'NNS']"
"['NNS', 'DT', 'JJR_less', 'JJ', 'NNS']"
"['JJ', 'NN', 'IN_like', 'DT', 'JJ']"
"['RB', 'IN', 'PDT_all', 'DT', 'JJ']"
"['IN', 'PRP$', 'JJS_best', 'NN', 'NN']"
"['VBZ', 'PRP', 'RBS_best', 'JJ', 'NN']"
"['IN', 'DT', 'JJS_best', 'NNS', 'IN']"
"['VBZ', 'IN', 'JJS_least', 'CD', 'NN']"
"['VBZ', 'IN', 'JJS_least', 'CD', 'NN']"
"['WP', 'VBZ', 'IN_like', 'DT', 'CC']"
"['VBZ', 'RB', 'JJ_recommend', ""''""]"
"['PRP$', 'NNS', 'RBR_lifejess', 'CC', 'DT']"
"['IN', 'DT', 'JJS_smallest', 'NN', 'MD']"
"['IN', 'NN', 'DT_both', 'IN', 'PRP$']"
"['JJ', 'IN', 'JJS_most', 'NNS', 'MD']"
"['JJ', 'IN', 'JJS_most', 'NNS', 'MD']"
"['TO', 'VB', 'JJR_better', 'NNS', ""''""]"
"['NN', 'PRP', 'DT_all', 'MD', 'VB']"
"['TO', 'VB', 'JJR_better', 'NNS', ""''""]"
"['``', 'IN_like', 'PRP$', 'NN']"
"['NN', 'CC', 'IN_befor', 'JJ', 'VBP']"
"['NN', 'TO', 'JJ_last', 'PRP', 'NNS']"
"['VBZ', 'RB', 'RBR_longer', 'PRP', ""''""]"
"['PRP$', 'CC', 'JJS_best', 'NN', 'NN']"
"['VBN', 'IN', 'DT_both', 'PRP$', 'NN']"
"['IN', 'DT', 'RBR_more', 'JJ', 'NNS']"
"['IN', 'NN', 'JJS_best', 'NNS', 'CC']"
"['CC', 'RB', 'JJ_differ', 'NN', ""''""]"
"['RB', 'VBP', 'IN_like', 'DT', 'JJ']"
"['IN', 'DT', 'JJ_top', 'NNS', 'WDT']"
"['``', 'IN_like', 'CD', 'IN']"
"['VBP', 'VBN', 'IN_befor', 'VBG', 'DT']"
"['CC', 'VB', 'VBD_like', 'PRP', 'RP']"
"['IN', 'DT', 'RBR_more', 'RB', 'IN']"
"['IN', 'NNS', 'IN_like', 'DT', 'RBR']"
"['TO', 'VB', 'JJR_more', 'IN', 'PRP$']"
"['.', 'VBP', 'JJ_top', 'NN', 'CC']"
"['VBP', 'JJ', 'RB_togeth', 'RB', 'VB']"
"['NNS', 'RB', 'RBR_better', 'IN', 'DT']"
"['NNS', 'RB', 'RBR_better', 'IN', 'DT']"
"['VBN', 'IN', 'JJS_least', 'CD', 'JJ']"
"['VBN', 'IN', 'JJS_least', 'CD', 'JJ']"
"['JJ', 'JJ', 'NNS_choic', 'VBD', ':']"
"['IN', 'DT', 'JJ_last', 'NN', 'IN']"
"['NN', 'NNS', 'IN_like', 'CD', 'IN']"
"['IN', 'DT', 'JJ_top', 'NN', 'NN']"
"['VBP', 'DT', 'JJ_last', 'NN', 'PRP']"
"['PRP', 'VBP', 'JJR_more', 'IN', 'CD']"
"['IN', 'DT', 'JJ_same', 'NN', 'PRP']"
"['VBZ', 'RB', 'IN_like', 'DT', 'NN']"
"['DT', 'NN', 'IN_befor', 'JJ', 'VBD']"
"['PRP', 'RB', 'RBR_more', 'RB', 'IN']"
"['NN', 'IN', 'NN_differ', 'DT', 'JJ']"
"['IN', 'PRP', 'VBP_like', 'DT', 'NN']"
"['IN', 'NN', 'DT_both', 'JJ', 'CC']"
"['WDT', 'PRP', 'DT_all', 'NNS', ""''""]"
"['IN', 'DT', 'JJ_last', 'CD', 'NNS']"
"['PRP', 'VBZ', 'VB_top', 'PRP$', 'JJ']"
"['JJ', 'NN', 'DT_all', 'VBP', 'DT']"
"['PRP', 'VBZ', 'JJ_similar', 'TO', 'DT']"
"['VBN', 'IN', 'DT_all', ""''""]"
"['VBZ', 'DT', 'JJ_same', 'NN', 'CC']"
"['NN', 'DT', 'JJS_best', 'NN', 'RB']"
"['RB', 'DT', 'JJ_second', 'NN', 'VBZ']"
"['NN', 'WDT', 'JJS_most', 'JJ', 'NN']"
"['.', 'NN', 'IN_like', 'DT', 'NN']"
"['NN', 'WDT', 'JJS_most', 'JJ', 'NN']"
"['NN', 'IN', 'DT_all', 'IN', 'PRP']"
"['PRP', 'VBZ', 'RBR_more', 'IN', 'JJ']"
"['NN', 'NN', 'IN_befor', 'RB', ""''""]"
"['PRP', 'VBD', 'JJR_more', 'IN', 'DT']"
"['MD', 'RB', 'VB_recommend', 'PRP', ""''""]"
"['``', 'RB_most', 'PRP$', 'NNS']"
"['PRP', 'DT', 'JJ_second', 'NN', 'CC']"
"['``', 'DT', 'JJ_second', 'NN', 'CC']"
"['VBD', 'RB', 'VB_win', 'DT', 'NN']"
"['MD', 'VB', 'PDT_all', 'DT', 'VBG']"
"['VBZ', 'DT', 'JJS_greatest', 'NN', 'IN']"
"['PRP', 'DT', 'RBR_more', 'RB', 'JJS']"
"['RBR', 'RB', 'JJS_most', 'IN', 'DT']"
"['VBN', 'IN', 'DT_all', 'IN', 'CD']"
"['PRP', 'VBP', 'IN_like', 'PRP', 'DT']"
"['RBR', 'RB', 'JJS_most', 'IN', 'DT']"
"['VBG', 'DT', 'RBS_most', 'RB', 'RB']"
"['NN', 'DT', 'RBS_most', 'NN', 'RB']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NNS']"
"['``', 'DT_all', 'NN', 'MD']"
"['VBG', 'DT', 'RBS_most', 'RB', 'RB']"
"['NN', 'IN', 'DT_all', 'NN', 'DT']"
"['NN', 'DT', 'RBS_most', 'NN', 'RB']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NNS']"
"['TO', 'VBG', 'IN_like', 'PDT', 'DT']"
"['VBG', 'IN', 'PDT_all', 'DT', 'NN']"
"['IN', 'PRP$', 'JJS_most', 'JJ', 'VBZ']"
"['IN', 'PRP$', 'JJS_most', 'JJ', 'VBZ']"
"['VBN', 'DT', 'RBR_more', 'JJ', 'NN']"
"['VB', 'DT', 'JJR_viewer', 'RB', 'IN']"
"['$', 'CD', 'JJ_last', 'NN', 'IN']"
"['VB', 'DT', 'JJS_greatest', 'NN', 'IN']"
"['NN', 'IN', 'DT_all', 'NN', 'CC']"
"['JJ', 'NN', 'IN_like', 'DT', 'JJ']"
"['JJ', 'NNS', 'RB_most', 'WP', 'VBP']"
"['RB', 'JJ', 'IN_like', 'DT', 'NN']"
"['VBP', 'JJ', 'JJR_more', 'CC', 'DT']"
"['NN', 'IN', 'VBG_compar', 'DT', 'NN']"
"['CD', 'JJ', 'NN_top', 'NN', 'NN']"
"['WP', 'VBP', 'DT_all', 'IN', 'DT']"
"['``', 'NN_compar', 'WDT', 'TO']"
"['DT', 'NN', 'IN_like', 'NN', 'WDT']"
"['DT', 'NN', 'IN_like', 'DT', ""''""]"
"['NN', 'RB', 'RBR_more', 'RB', 'NN']"
"['``', 'DT', 'JJ_last', 'NN', 'VBZ']"
"['VBZ', 'PRP$', 'JJ_second', 'NN', 'IN']"
"['IN', 'DT', 'JJS_biggest', 'NNS', 'RB']"
"['PRP', 'VBD', 'DT_all', 'IN', 'DT']"
"['DT', 'VBZ', 'DT_all', 'NN', 'CC']"
"['CC', 'JJ', 'JJR_more', ""''""]"
"['CD', 'RB', 'JJ_differ', 'NNS', 'CC']"
"['WDT', 'RB', 'RBR_more', 'JJ', ""''""]"
"['JJ', 'NN', 'RB_togeth', 'WDT', 'VBD']"
"['IN', 'PRP$', 'JJS_most', 'RB', 'NNS']"
"['``', 'PRP', 'DT_both', 'VBD', 'JJ']"
"['RB', 'CC', 'DT_both', 'IN', 'PRP']"
"['IN', 'PRP$', 'JJS_most', 'RB', 'NNS']"
"['PRP', 'VBP', 'JJS_most', 'IN', 'PRP']"
"['PRP', 'VBP', 'JJS_most', 'IN', 'PRP']"
"['JJ', 'IN', 'PDT_all', 'DT', 'NNS']"
"['WRB', 'VBP', 'IN_like', 'NN', 'NN']"
"['``', 'DT_all', 'VBP', 'DT']"
"['IN', 'NN', 'IN_like', 'DT', 'NN']"
"['PRP', 'VBP', 'DT_both', 'RB', 'JJ']"
"['PRP', 'VBP', 'IN_like', 'DT', 'NN']"
"['RB', 'RB', 'DT_all', 'IN', 'DT']"
"['IN', 'JJ', 'JJS_best', 'NN', 'WDT']"
"['VB', 'DT', 'JJS_best', 'JJ', 'RB']"
"['IN', 'DT', 'JJS_most', 'NN', 'PRP']"
"['VBP', 'VBN', 'JJR_more', 'IN', 'CD']"
"['IN', 'DT', 'JJS_most', 'NN', 'PRP']"
"['IN', 'NN', 'IN_like', 'NN', 'NNS']"
"['TO', 'VB', 'IN_like', 'DT', 'JJ']"
"['PRP', 'VBZ', 'RBR_more', 'IN', 'JJ']"
"['NNS', 'MD', 'VB_like', 'JJ', 'NNS']"
"['NN', 'CC', 'DT_both', 'NNS', 'PRP']"
"['CC', 'IN', 'JJS_most', 'NNS', 'VBP']"
"['PRP', 'VBZ', 'RBR_more', 'JJ', 'IN']"
"['CC', 'IN', 'JJS_most', 'NNS', 'VBP']"
"['NNS', 'CC', 'PDT_all', 'DT', 'NN']"
"['IN', 'DT', 'JJS_biggest', 'NNS', 'IN']"
"['NNS', 'IN', 'DT_all', 'NN', 'DT']"
"['NN', 'VBD', 'JJR_bigger', 'IN', 'NN']"
"['VBG', 'RB', 'JJS_honest', 'RB', 'JJ']"
