"['VB', 'DT', 'JJS_best', 'NN', 'NN']"
"['JJ', 'NN', 'JJS_best', 'NN', 'IN']"
"['NN', 'IN', 'DT_all', 'NN', 'DT']"
"['NN', 'NN', 'DT_both', 'IN', 'WP']"
"['DT', 'RB', 'JJR_livelier', 'NN', 'IN']"
"['TO', 'VB', 'IN_like', 'DT', 'JJ']"
"['JJ', 'NN', 'RB_togeth', 'IN', 'DT']"
"['TO', 'DT', 'JJ_top', 'NN', 'DT']"
"['``', 'CC', 'DT_all', 'IN', 'RB']"
"['VB', 'VBP', 'VB_recommend', 'DT', 'NN']"
"['IN', 'DT', 'JJS_richest', 'NN', 'IN']"
"['DT', 'NN', 'JJR_less', 'JJ', 'IN']"
"['TO', 'VB', 'NN_defeat', ':', 'PRP']"
"['DT', 'NN', 'JJR_less', 'JJ', 'IN']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NNS']"
"['NNS', 'VBG', 'JJS_best', 'NN', 'NNS']"
"['DT', 'RB', 'IN_befor', 'JJ', 'NN']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NNS']"
"['VBP', 'VBG', 'IN_like', 'DT', 'JJ']"
"['VBN', 'PRP', 'RBR_more', 'NNS', 'IN']"
"['NN', 'DT', 'JJR_lower', 'NN', 'NN']"
"['VB', 'IN', 'VBG_win', 'PRP$', 'NN']"
"['CD', 'IN', 'PDT_all', 'DT', 'NNS']"
"['VBD', 'VBN', 'RBR_earlier', 'IN', 'DT']"
"['VBD', 'DT', 'RBS_most', 'NN', 'IN']"
"['VBD', 'DT', 'RBS_most', 'NN', 'IN']"
"['DT', 'IN', 'JJ_second', 'CC', 'JJ']"
"['VBZ', 'RB', 'DT_all', 'VBD', 'JJ']"
"['PRP', 'VBP', 'JJ_differ', 'NNS', 'IN']"
"[':', 'CC', 'DT_all', 'IN', 'DT']"
"['JJ', 'NNS', 'JJ_last', 'JJ', 'RB']"
"['TO', 'VB', 'DT_all', 'IN', 'DT']"
"['WDT', 'VBZ', 'JJR_cameron', 'JJ', 'CC']"
"['IN', 'DT', 'JJR_lower', 'NN', 'NNS']"
"['IN', 'PRP$', 'JJS_best', ""''""]"
"['VB', 'RP', 'IN_like', 'DT', 'VBN']"
"['``', 'DT', 'JJS_richest', 'NN', 'IN']"
"['WP', 'VBD', 'JJS_most', 'IN', 'NN']"
"['PRP$', 'JJ', 'JJR_younger', 'NN', 'VBD']"
"['WP', 'VBD', 'JJS_most', 'IN', 'NN']"
"['VBN', 'CC', 'RBR_later', 'VBD', 'NNS']"
"['``', 'DT_all', 'IN', 'DT']"
"['TO', 'DT', 'JJ_last', 'NNS', 'IN']"
"['RB', 'IN', 'DT_all', 'IN', 'DT']"
"['NN', 'RB', 'RBR_more', 'JJ', 'JJ']"
"['NN', 'VBZ', 'RB_differ', 'CC', 'PRP']"
"['JJ', 'CC', 'DT_all', 'VBP', 'VBN']"
"['TO', 'VB', 'DT_all', 'IN', 'DT']"
"['VBZ', 'RB', 'IN_like', 'DT', 'JJ']"
"['CC', 'VBZ', 'IN_like', 'DT', 'NN']"
"['``', 'IN', 'JJS_most', 'NN', 'IN']"
"['``', 'IN_like', 'JJS', 'NN']"
"['``', 'IN', 'JJS_most', 'NN', 'IN']"
"['IN', 'PRP', 'VBP_like', 'VBG', 'NNS']"
"['``', 'IN', 'JJS_least', 'RB', 'IN']"
"['``', 'IN', 'JJS_least', 'RB', 'IN']"
"['VBZ', 'DT', 'JJS_best', 'NN', 'IN']"
"['NNS', 'CC', 'JJR_more', ""''""]"
"[':', 'IN', 'JJS_least', 'RB', 'IN']"
"[':', 'IN', 'JJS_least', 'RB', 'IN']"
"['JJS', 'RB', 'IN_like', 'DT', 'NN']"
"['VB', 'VBN', 'RBR_better', 'CC', 'VBZ']"
"['VB', 'VBN', 'RBR_better', 'CC', 'VBZ']"
"['RB', 'VB', 'JJS_best', 'NN', 'NN']"
"['VBN', 'RB', 'JJR_better', 'NN', 'IN']"
"['VBZ', 'DT', 'JJS_worst', 'JJ', 'VBN']"
"['VBN', 'RB', 'JJR_better', 'NN', 'IN']"
"['NN', 'IN', 'DT_both', 'IN', 'PRP']"
"['IN', 'NN', 'IN_befor', ""''""]"
"['``', 'RB', 'IN_befor', 'PRP', 'VBD']"
"['TO', 'VB', 'JJR_more', 'IN', 'DT']"
"['IN', 'PRP', 'VBD_like', 'DT', 'NN']"
"['``', 'DT', 'NN_lead', 'NNS', 'IN']"
"['VBG', 'DT', 'NN_superior', 'NN', 'VBD']"
"['VBD', 'CC', 'DT_both', 'VBD', 'JJ']"
"['VBD', 'RB', 'RBR_more', 'RB', 'VBN']"
"['RB', 'RB', 'JJR_more', 'JJ', 'CD']"
"['``', 'TO', 'PDT_all', 'DT', 'JJ']"
"['VBZ', 'DT', 'JJ_top', 'NN', 'NN']"
"['IN', 'DT', 'JJ_same', 'NNS', 'VBD']"
"['VBD', 'DT', 'RBS_most', 'JJ', 'NN']"
"['VBD', 'DT', 'RBS_most', 'JJ', 'NN']"
"['NN', 'IN', 'DT_all', 'NN', ""''""]"
"['RB', 'RB', 'JJR_more', 'IN', 'NN']"
"['JJ', 'NN', 'IN_like', 'DT', 'JJ']"
"['NNS', 'VBZ', 'RB_togeth', 'DT', 'JJ']"
"['VBD', 'PRP', 'RB_togeth', 'VBZ', 'VB']"
"['RB', 'DT', 'JJS_burliest', 'NN', 'IN']"
"['VBD', 'PRP', 'RBR_more', 'IN', 'DT']"
"['DT', 'NN', 'DT_all', 'PRP$', 'NN']"
"['VBD', 'PRP', 'JJR_better', 'IN', 'JJ']"
"['VBD', 'PRP', 'JJR_better', 'IN', 'JJ']"
"['IN', 'DT', 'JJ_differ', 'NN', 'IN']"
"['VBG', 'PRP$', 'JJS_best', 'IN', 'DT']"
"['CC', 'VBD', 'JJS_best', 'NN', 'IN']"
"['NNS', 'IN', 'DT_all', 'NNS', ""''""]"
"['IN', 'DT', 'JJ_same', 'MD', 'VB']"
"['CC', 'JJ', 'VBP_recommend', 'PRP', 'TO']"
"['IN', 'DT', 'JJR_older', 'NN', 'IN']"
"['NN', 'JJ', 'JJS_biggest', 'NNS', 'VBP']"
"['NN', 'IN', 'NNS_similar', 'TO', 'DT']"
"['NN', 'NN', 'RBR_morphett', 'RB', 'VB']"
"['``', 'IN', 'JJS_least', 'DT', 'JJ']"
"['``', 'IN', 'JJS_least', 'DT', 'JJ']"
"['IN', 'DT', 'RBR_more', 'JJ', 'NN']"
"['VBN', 'IN', 'JJ_similar', 'NNS', 'IN']"
"['NN', 'VBZ', 'JJR_more', 'IN', 'DT']"
"['NN', 'VBZ', 'JJR_more', 'IN', 'DT']"
"['NN', 'IN', 'JJR_more', 'NN', 'IN']"
"['VB', 'NN', 'JJR_more', 'JJ', 'CC']"
"['DT', 'NN', 'RBR_more', 'JJ', 'NN']"
"['DT', 'NNS', 'RB_togeth', 'IN', 'RP']"
"['VB', 'CD', 'DT_all', 'VB', 'PRP']"
"['VBD', 'VBN', 'JJ_similar', 'NNS', 'CC']"
"['JJ', 'NNS', 'CC_both', 'IN', 'DT']"
"['NN', 'VBP', 'DT_all', 'IN', 'DT']"
"['NN', 'NN', 'IN_like', 'DT', ""''""]"
"['VBZ', 'VB', 'DT_all', 'PRP', 'VBP']"
"['IN', 'NN', 'VBN_recommend', 'IN', 'DT']"
"['VBN', 'IN', 'DT_all', 'NN', 'NNS']"
"['RB', 'PRP$', 'JJS_most', 'JJ', '.']"
"['NN', 'VBP', 'DT_both', 'VBG', 'DT']"
"['VBG', 'DT', 'JJ_same', 'JJ', 'NN']"
"['RB', 'PRP$', 'JJS_most', 'JJ', '.']"
"['VBP', 'VBN', 'JJ_inferior', 'TO', 'NNS']"
"['NN', 'VBD', 'JJR_more', 'IN', 'DT']"
"['PRP$', 'NN', 'JJ_last', 'NN', 'CC']"
"['VBD', 'PRP', 'JJR_harder', 'IN', 'PRP']"
"['VBG', 'IN', 'PDT_all', 'DT', 'NNS']"
"['DT', 'NN', 'RB_most', 'RB', 'CC']"
"['NN', 'CD', 'NN_lead', 'NNS', 'VBP']"
"['VB', 'IN', 'JJS_least', 'DT', 'NN']"
"['VBG', 'VBN', 'RBR_more', 'JJ', 'NN']"
"['VB', 'IN', 'JJS_least', 'DT', 'NN']"
"['JJ', 'NNS', 'IN_like', 'NN', ""''""]"
"['DT', 'CD', 'NN_lead', 'NNS', 'DT']"
"['VBG', 'NN', 'DT_all', 'VBP', 'TO']"
"['PRP$', 'IN', 'JJS_least', 'RB', 'JJ']"
"['JJ', 'IN', 'JJS_best', 'NN', 'MD']"
"['PRP$', 'IN', 'JJS_least', 'RB', 'JJ']"
"['IN', 'JJS', 'RB_most', 'JJ', 'IN']"
"['NNS', 'CC', 'JJS_most', 'RB', 'JJ']"
"['NNS', 'CC', 'JJS_most', 'RB', 'JJ']"
"['JJ', 'JJ', 'NN_recommend', 'DT', 'NN']"
"['NN', 'RB', 'JJR_higher', 'IN', 'DT']"
"['VBN', 'VBN', 'RBR_better', 'IN', 'DT']"
"['VBN', 'VBN', 'RBR_better', 'IN', 'DT']"
"['PRP', 'VBZ', 'JJR_more', 'NNS', 'IN']"
"['IN', 'RB', 'JJR_more', 'NNS', 'IN']"
"['JJR', 'NNS', 'IN_like', 'DT', 'VBD']"
"['RB', 'IN', 'JJR_more', 'JJ', 'JJ']"
"['``', 'NN', 'VBD_like', 'IN', 'PRP']"
"['RB', 'DT', 'RBS_most', 'JJ', 'TO']"
"['RB', 'DT', 'RBS_most', 'JJ', 'IN']"
"['RB', 'DT', 'RBS_most', 'JJ', 'TO']"
"['TO', 'VB', 'DT_both', 'IN', 'PRP$']"
"['RB', 'DT', 'RBS_most', 'JJ', 'IN']"
"['JJ', 'NN', 'NN_prefer', 'NNS', 'NNS']"
"['IN', 'JJ', 'NN_prefer', 'IN', 'NN']"
"['NN', 'IN', 'DT_all', 'WP', 'VBD']"
"['DT', 'RB', 'JJS_youngest', 'IN', 'NN']"
"['NN', 'IN', 'JJR_younger', 'NNS', 'VBD']"
"['VBN', 'IN', 'JJS_least', 'IN', 'DT']"
"['JJ', 'IN', 'DT_all', 'CC', 'DT']"
"['VBN', 'IN', 'JJS_least', 'IN', 'DT']"
"['DT', 'JJ', 'NN_choic', 'IN', 'JJ']"
"['PDT', 'DT', 'RBR_more', 'JJ', 'DT']"
"['CC', 'NNS', 'PDT_all', 'DT', 'RBR']"
"['RB', 'NN', 'DT_both', 'IN', 'NN']"
"['VBZ', 'VBG', 'JJR_older', 'CC', 'VBZ']"
"['IN', 'DT', 'JJS_best', 'NNS', 'VBP']"
"['NN', 'TO', 'VB_win', 'PRP$', 'NNS']"
"['CC', 'PRP', 'VBP_top', 'PRP', 'RP']"
"['RB', 'VBN', 'IN_befor', 'WDT', 'VBZ']"
"['CC', 'NNS', 'DT_both', 'VBN', 'RB']"
"['DT', 'VBN', 'RB_togeth', 'IN', 'DT']"
"['NN', 'VBP', 'DT_both', 'VBN', 'TO']"
"['NN', 'RB', 'JJR_stronger', 'IN', 'DT']"
"['VBP', 'JJ', 'NN_altern', 'TO', 'VBG']"
"['NN', 'VBD', 'JJR_more', 'IN', 'DT']"
"['NN', 'DT', 'JJR_better', ""''""]"
"['CC', 'DT', 'NN_less', 'VBD', 'IN']"
"['NN', 'DT', 'JJR_better', ""''""]"
"['JJ', 'VBP', 'JJS_most', 'VB', 'RB']"
"['JJ', 'VBP', 'JJS_most', 'VB', 'RB']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NN']"
"['NNS', 'VBP', 'RBS_most', 'JJ', 'NN']"
"['IN', 'PRP$', 'NNS_differ', 'DT', 'CD']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NN']"
"['NNS', 'VBP', 'RBS_most', 'JJ', 'NN']"
"['NN', 'VBZ', 'RBR_more', 'IN', 'DT']"
"['``', 'IN_like', 'DT', 'NN']"
"['RB', 'RB', 'RBR_more', 'JJ', 'IN']"
"['DT', 'NN', 'JJ_inferior', 'TO', 'DT']"
"['MD', 'VB', 'IN_like', 'TO', 'VB']"
"['IN', 'NN', 'JJ_last', 'NN', 'NN']"
"['NNS', 'VBD', 'PDT_all', 'DT', 'NN']"
"['VBN', 'TO', 'DT_all', 'IN', 'DT']"
"['NN', 'NNS', 'DT_all', 'IN', 'DT']"
"['RB', 'CD', 'NN_less', 'VBZ', 'VBN']"
"['VB', 'RB', 'VBN_recommend', 'IN', 'DT']"
"['IN', 'NN', 'RB_similar', 'JJ', 'IN']"
"['JJ', 'NNS', 'RBR_earlier', 'PRP', 'VBZ']"
"['NN', 'VBZ', 'DT_all', 'NNS', 'IN']"
"['DT', 'NNS', 'IN_like', 'DT', 'JJ']"
"['JJ', 'NN', 'NNS_similar', 'TO', 'VB']"
"['WDT', 'VBD', 'RBR_more', 'JJ', 'CC']"
"['NNS', 'IN', 'PDT_all', 'DT', 'NNS']"
"['NN', 'CC', 'RBR_more', 'RB', 'JJ']"
"['NN', 'IN', 'DT_all', ""''""]"
"['NN', 'VBP', 'DT_all', 'JJ', ""''""]"
"['VB', 'VBN', 'JJR_stronger', 'IN', 'DT']"
"['IN', 'DT', 'JJ_differ', 'VBG', 'CC']"
"['PRP', 'VBZ', 'RBR_closer', 'TO', 'VB']"
"['DT', 'NN', 'RBR_better', 'JJ', 'NN']"
"['DT', 'NN', 'RBR_better', 'JJ', 'NN']"
"['VB', 'RB', 'IN_like', 'DT', 'JJ']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NN']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NN']"
"['NNS', 'IN', 'DT_both', 'IN', 'PRP$']"
"['RB', 'JJ', 'JJR_better', 'IN', 'CD']"
"['RB', 'JJ', 'JJR_better', 'IN', 'CD']"
"['IN', 'PRP$', 'JJS_finest', '.', 'DT']"
"['RB', 'VBN', 'IN_like', 'DT', 'NNS']"
"['CD', 'IN', 'DT_all', 'DT', 'NNS']"
"['VBP', 'VBG', 'JJR_less', 'RB', 'NN']"
"['VBP', 'VBG', 'JJR_less', 'RB', 'NN']"
"['VBZ', 'VBG', 'RBR_better', 'CC', 'RBR']"
"['RBR', 'CC', 'RBR_better', 'IN', 'DT']"
"['DT', 'NN', 'RBR_more', 'NN', 'CC']"
"['VBP', 'VBN', 'PDT_all', 'DT', 'NNS']"
"['NNS', 'VBD', 'PDT_all', 'DT', 'NNS']"
"['VBZ', 'VBG', 'RBR_better', 'CC', 'RBR']"
"['RBR', 'CC', 'RBR_better', 'IN', 'DT']"
"['CC', 'RB', 'JJR_more', ""''""]"
"['VB', 'IN', 'DT_all', 'JJ', 'NNS']"
"['VB', 'TO', 'DT_all', 'NNS', 'CC']"
"['NNS', 'CC', 'DT_all', 'NNS', 'IN']"
"['NNS', 'IN', 'PDT_all', 'DT', 'NNS']"
"['IN', 'PRP$', 'JJS_most', 'RB', 'JJ']"
"['IN', 'PRP$', 'JJS_most', 'RB', 'JJ']"
"['CC', 'JJ', 'IN_befor', 'PRP', 'VBD']"
"['``', 'PDT_all', 'DT', 'VBG']"
"['WP', 'VBD', 'DT_all', 'DT', 'VBG']"
"['IN', 'WRB', 'JJ_similar', 'DT', 'NN']"
"['DT', 'RB', 'JJ_superior', 'NN', ""''""]"
"['IN', 'DT', 'JJR_larger', 'IN', 'NN']"
"['IN', 'DT', 'RB_altern', 'NN', 'CC']"
"['DT', 'NN', 'RB_togeth', 'CC', 'VB']"
"['RB', 'VBD', 'JJR_lovelier', 'CC', 'JJ']"
"['CC', 'DT', 'JJS_best', 'NN', 'IN']"
"['IN', 'DT', 'JJR_lesser', 'JJ', 'NN']"
"['IN', 'DT', 'RBS_most', 'JJ', 'JJ']"
"['IN', 'DT', 'RBS_most', 'JJ', 'JJ']"
"['VBP', 'IN', 'VBG_lead', 'JJ', 'JJ']"
"['NN', 'DT', 'JJ_last', 'NN', 'NN']"
"['IN', 'NN', 'DT_both', 'JJ', 'CC']"
"['TO', 'PRP$', 'NN_like', 'CC', 'IN']"
"['CC', 'IN', 'VBG_like', 'VBD', 'RB']"
"['NN', 'CC', 'DT_all', 'IN', 'PRP']"
"['NN', 'MD', 'JJ_last', 'RB', 'RB']"
"['IN', 'DT', 'JJR_cheaper', 'NN', 'IN']"
"['IN', 'DT', 'JJS_largest', 'NN', 'TO']"
"['NN', 'RB', 'IN_befor', 'DT', 'NN']"
"['IN', 'DT', 'RBS_most', 'JJ', 'CC']"
"['IN', 'DT', 'RBS_most', 'JJ', 'CC']"
"['NN', 'IN', 'PDT_all', 'DT', 'RB']"
"['VBD', 'PRP$', 'RBR_more', 'JJ', 'NN']"
"['NN', 'IN', 'JJS_most', 'IN', 'PRP$']"
"['NN', 'IN', 'RBR_more', 'NN', 'IN']"
"['JJ', 'JJ', 'JJ_second', 'NN', 'VBN']"
"['IN', 'NN', 'DT_all', 'IN', 'DT']"
"['NN', 'IN', 'JJS_most', 'IN', 'PRP$']"
"['RB', 'VB', 'JJR_bigger', 'NNS', 'NN']"
"['RB', 'RB', 'RBR_more', 'JJ', 'IN']"
"['PRP', 'VBP', 'JJ_beat', 'NN', 'RB']"
"['WP', 'VBP', 'IN_like', 'DT', 'NN']"
"['IN', 'DT', 'JJ_top', 'NNS', 'CC']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NNS']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NNS']"
"['NN', 'VBZ', 'RBR_more', 'JJ', 'CC']"
"['CC', 'CD', 'RB_most', 'VBZ', 'IN']"
"['VBD', 'DT', 'JJ_second', 'NN', 'VBZ']"
"['VB', 'DT', 'JJ_second', 'NN', 'IN']"
"['DT', 'JJ', 'JJ_same', 'NN', 'IN']"
"['IN', 'DT', 'JJ_second', 'NN', 'VBZ']"
"['NN', 'IN', 'DT_all', ""''""]"
"['RB', 'CD', 'NNS_second', 'VBP', 'RB']"
"['WP', 'VBZ', 'IN_like', 'NN', 'NN']"
"['NNS', 'VBP', 'JJR_more', 'PRP$', 'NN']"
"['NN', 'NN', 'IN_like', 'VBG', 'JJ']"
"['RB', 'RB', 'VBN_like', 'IN', 'DT']"
"['PRP', 'VB', 'RBR_better', 'VB', 'VB']"
"['PRP', 'VB', 'RBR_better', 'VB', 'VB']"
"['VB', 'IN', 'JJS_least', 'CD', 'NN']"
"['NNS', 'RB', 'JJR_worse', 'IN', 'DT']"
"['VBP', 'VBN', 'JJR_better', 'IN', 'JJS']"
"['JJR', 'IN', 'JJS_most', 'VB', 'VBG']"
"['DT', 'NN', 'RBR_further', 'VBZ', 'WP']"
"['CD', 'NNS', 'PDT_all', 'DT', 'NN']"
"['VB', 'IN', 'JJS_least', 'CD', 'NN']"
"['VBP', 'VBN', 'JJR_better', 'IN', 'JJS']"
"['JJR', 'IN', 'JJS_most', 'VB', 'VBG']"
"['NN', 'IN', 'JJS_most', 'CC', 'JJ']"
"['PRP', 'RB', 'RBR_more', 'JJ', 'WRB']"
"['NN', 'IN', 'JJS_most', 'CC', 'JJ']"
"['VBG', 'NN', 'IN_befor', 'DT', 'NN']"
"['NN', 'CC', 'CC_both', 'DT', 'JJ']"
"['NN', 'IN', 'PDT_all', 'PRP$', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['CD', 'CC', 'JJR_more', 'NNS', ':']"
"['VBZ', 'DT', 'JJS_best', 'NN', 'IN']"
"['VBG', 'DT', 'NNS_lead', ""''""]"
"['VBN', 'IN', 'PDT_all', 'DT', 'JJ']"
"['VBD', 'DT', 'JJS_best', 'NNS', 'IN']"
"['``', 'NN', 'IN_like', 'PRP', 'CC']"
"['PRP', 'CC', 'VB_recommend', 'PRP', 'IN']"
"['NNS', 'IN', 'DT_all', 'JJ', 'NN']"
"['TO', 'DT', 'DT_all', 'FW', 'NN']"
"['JJ', 'NNS', 'IN_like', 'JJ', 'NN']"
"['VB', 'PRP', 'JJ_inferior', 'NN', 'IN']"
"['VBZ', 'DT', 'RBS_most', 'JJ', 'IN']"
"['RB', 'IN', 'NN_beat', 'NN', 'IN']"
"['VBZ', 'DT', 'RBS_most', 'JJ', 'IN']"
"['VBD', 'RB', 'JJR_om', ""''""]"
"['CC', 'JJ', 'DT_both', 'VBP', 'VBG']"
"['VBG', 'NN', 'RB_togeth', ""''""]"
"['VBG', 'IN', 'DT_both', 'DT', 'NN']"
"['NNS', 'IN', 'JJS_best', 'NN', 'NN']"
"['NN', 'CC', 'JJS_best', 'NN', 'NN']"
"['NNS', 'IN', 'JJS_best', 'NN', 'RBS']"
"['JJS', 'NN', 'RBS_best', 'NN', 'CC']"
"['NN', 'CC', 'JJS_best', 'VBG', 'NN']"
"['VBD', 'DT', 'JJ_second', 'NN', 'IN']"
"['NN', 'VBD', 'RBR_more', 'IN', 'DT']"
"['VBD', 'RBR', 'IN_like', 'DT', 'NN']"
"['PRP', 'DT', 'JJS_best', 'VBG', 'NN']"
"['VBD', 'RB', 'IN_like', 'DT', 'JJ']"
"['VBZ', 'DT', 'RBS_most', 'JJ', 'JJ']"
"['VBZ', 'DT', 'RBS_most', 'JJ', 'JJ']"
"['NN', 'IN', 'DT_all', 'VBG', 'NNS']"
"['IN', 'DT', 'VBG_lead', 'NNS', 'IN']"
"['PRP$', 'NN', 'VBZ_lead', 'TO', 'NNS']"
"['IN', 'DT', 'JJS_best', 'JJ', 'NNS']"
"['NN', 'NNS', 'DT_all', 'VBP', 'JJ']"
"['VBG', 'IN', 'PDT_all', 'PRP$', 'NNS']"
"['IN', 'DT', 'JJS_best', 'NN', ""''""]"
"['NN', 'VBZ', 'JJR_better', 'CC', 'JJ']"
"['NN', 'VBZ', 'JJR_better', 'CC', 'JJ']"
"['NNS', 'IN', 'DT_all', 'NN', 'VBZ']"
"['NN', 'RB', 'VBD_like', 'PRP', 'CC']"
"['RB', 'DT', 'JJ_same', 'NN', 'VBD']"
"['NN', 'IN', 'DT_both', 'DT', 'NN']"
"['NN', 'IN', 'DT_both', 'NNS', 'VBZ']"
"['``', 'JJR_more', 'IN', 'DT']"
"['NN', 'NN', 'VBP_prefer', 'TO', 'VB']"
"['VBZ', 'DT', 'JJS_best', 'VBG', 'IN']"
"['PRP', 'IN', 'DT_all', 'NNS', 'JJ']"
"['NNS', 'IN', 'JJS_most', 'RB', 'VBN']"
"['NNS', 'IN', 'JJS_most', 'RB', 'VBN']"
"['NN', 'IN', 'IN_like', 'VBG', 'DT']"
"['PRP', 'IN', 'JJR_better', 'CC', 'JJR']"
"['JJR', 'CC', 'JJR_worse', 'TO', 'DT']"
"['PRP', 'IN', 'JJR_better', 'CC', 'JJR']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NN']"
"['IN', 'DT', 'RBS_most', 'JJ', 'NN']"
"['RB', 'VBG', 'JJR_more', 'IN', 'CD']"
"['NN', 'IN', 'DT_all', 'IN', 'DT']"
"['RB', 'NNS', 'RB_togeth', 'VBP', 'NN']"
"['DT', 'WP', 'IN_like', 'NNS', 'TO']"
"['RB', 'IN', 'DT_all', 'NNS', 'CC']"
"['VBZ', 'RB', 'RBS_best', 'VBN', 'IN']"
"['RB', 'RB', 'JJ_like', 'NNS', 'NNS']"
"['RB', 'PRP', 'JJR_better', 'VB', 'RP']"
"['RB', 'PRP', 'JJR_better', 'VB', 'RP']"
"['NN', 'IN', 'PDT_all', 'DT', 'JJ']"
"['WP', 'VBP', 'VBP_like', 'NN', 'IN']"
"['IN', 'DT', 'RBS_most', 'JJ', 'CC']"
"['IN', 'DT', 'JJ_same', 'JJ', 'JJ']"
"['JJ', 'JJ', 'JJ_same', 'JJ', 'RB']"
"['IN', 'DT', 'RBS_most', 'JJ', 'CC']"
"['CC', 'DT', 'RBS_most', 'JJ', 'NNS']"
"['CC', 'DT', 'RBS_most', 'JJ', 'NNS']"
"['NN', 'NN', 'IN_befor', 'PRP', 'VBZ']"
"['NNS', 'NNS', 'IN_like', 'DT', 'NN']"
